Year,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,AG.LND.PRCP.MM,AG.LND.TOTL.K2,AG.SRF.TOTL.K2,EN.GHG.CH4.MT.CE.AR5,EN.GHG.CH4.PI.MT.CE.AR5,EN.GHG.CO2.MT.CE.AR5,EN.GHG.CO2.PC.CE.AR5,EN.GHG.CO2.PI.MT.CE.AR5,EN.GHG.CO2.TR.MT.CE.AR5,EN.GHG.CO2.BU.MT.CE.AR5,EN.GHG.CO2.FE.MT.CE.AR5,EN.GHG.CO2.IC.MT.CE.AR5,EN.GHG.CO2.IP.MT.CE.AR5,EN.GHG.CO2.WA.MT.CE.AR5,EN.GHG.CO2.AG.MT.CE.AR5,EN.GHG.CH4.WA.MT.CE.AR5,EN.GHG.CH4.TR.MT.CE.AR5,EN.GHG.CH4.FE.MT.CE.AR5,EN.GHG.CH4.IC.MT.CE.AR5,EN.GHG.CH4.AG.MT.CE.AR5,EN.GHG.CH4.BU.MT.CE.AR5,EN.GHG.ALL.MT.CE.AR5,EN.GHG.ALL.PC.CE.AR5,EN.GHG.N2O.AG.MT.CE.AR5,EN.GHG.N2O.BU.MT.CE.AR5,EN.GHG.N2O.PI.MT.CE.AR5,EN.GHG.N2O.TR.MT.CE.AR5,ER.FSH.AQUA.MT,ER.FSH.CAPT.MT,ER.H2O.INTR.PC,ER.H2O.INTR.K3,ER.FSH.PROD.MT,EN.GHG.N2O.WA.MT.CE.AR5,EN.GHG.N2O.FE.MT.CE.AR5,EN.GHG.N2O.IC.MT.CE.AR5,EN.GHG.N2O.MT.CE.AR5,EN.GHG.N2O.IP.MT.CE.AR5,NY.ADJ.AEDU.GN.ZS,NY.ADJ.DFOR.CD,NY.ADJ.DMIN.CD,NY.ADJ.DNGY.CD,EN.GHG.CO2.RT.GDP.KD,NY.GDP.MINR.RT.ZS,NY.GDP.NGAS.RT.ZS,NY.GDP.PETR.RT.ZS,NY.GDP.FRST.RT.ZS,NY.GDP.COAL.RT.ZS,NY.ADJ.DKAP.CD,NY.GDP.TOTL.RT.ZS,Freshwater_Withdrawal_Percent,Above_Median_Water_Pressure
1985,58.5532746823069,19.941348973607,661.0,10230.0,10450.0,1.2613,0.0015,7.1238,2.21416458629641,2.8719,2.2943,1.1927,0.0965,0.1587,0.5095,0.0002,0.0,1.0049,0.0281,0.0061,0.0002,0.1819,0.0387,8.7939,2.73325219060502,0.1686,0.0068,0.0038,0.0185,300.0,1400.0,1491.89898849249,4.8,1700.0,0.0442,0.0002,0.0003,0.4089,0.1665,1.8770492,569942.810540626,0.0,0.0,,,,,,,,,21.5888157916667,0
1986,58.6510263929619,19.5503421309873,661.0,10230.0,10450.0,1.283,0.0016,7.5219,2.2791115528131,3.2359,2.0677,1.4282,0.1742,0.1556,0.4601,0.0002,0.0,1.0161,0.0254,0.0102,0.0002,0.1907,0.0389,9.2111,2.79093373005713,0.1677,0.0073,0.0042,0.0167,375.0,1500.0,1454.38459079526,4.8,1875.0,0.0441,0.0004,0.0003,0.4062,0.1655,1.8770492,1083258.14663133,0.0,0.0,,,,,,,,,22.1831140416667,0
1987,59.0420332355816,18.3773216031281,661.0,10230.0,10450.0,1.3003,0.0014,7.6919,2.27197608663868,3.1115,2.1112,1.5112,0.196,0.3018,0.46,0.0002,0.0,1.0242,0.0259,0.0112,0.0003,0.1983,0.0388,9.3974,2.77573396385526,0.1664,0.0075,0.0039,0.0172,200.0,1713.0,1417.78822083824,4.8,1913.0,0.0438,0.0004,0.0006,0.4053,0.1655,1.8770492,1064067.64429508,0.0,0.0,,,,,,,,,22.7774122916667,0
1988,59.0420332355816,18.1818181818182,661.0,10230.0,10450.0,1.2944,0.0013,5.9334,1.71751167774208,2.8003,1.4871,0.8839,0.0933,0.2085,0.46,0.0002,0.0,1.033,0.0183,0.0061,0.0002,0.1969,0.0385,7.6203,2.20581019953112,0.1741,0.0062,0.0035,0.0121,100.0,1713.0,1389.43203781339,4.8,1813.0,0.044,0.0002,0.0004,0.3925,0.1519,1.8770492,1051208.45078054,0.0,0.0,0.436578254336225,0.0,0.0,0.0,0.0317246337520965,0.0,441290496.416184,0.0317246337520965,23.3717105208333,0
1989,59.0420332355816,17.9863147605083,661.0,10230.0,10450.0,1.3135,0.0013,5.9745,1.69475659414771,2.7817,1.8628,0.5276,0.0156,0.3267,0.46,0.0002,0.0,1.0444,0.023,0.0022,0.0004,0.2028,0.0394,7.7072,2.18626295462636,0.1928,0.0055,0.0035,0.0152,100.0,1713.0,1361.59204149452,4.8,1813.0,0.0439,0.0,0.0007,0.4193,0.1577,1.8770492,1124278.16783957,0.0,0.0,0.763876498690505,0.0,0.0,0.0,0.0413641909734255,0.0,649495892.169191,0.0413641909734255,23.9660087708333,0
1990,59.1397849462366,17.8885630498534,661.0,10230.0,10450.0,1.3679,0.0013,5.9745,1.66181062117978,2.7817,1.8628,0.5276,0.0156,0.3267,0.46,0.0002,0.0,1.0622,0.023,0.0252,0.0004,0.2236,0.0323,7.7521,2.15625108652569,0.1821,0.0047,0.0034,0.0152,80.0,1430.0,1335.12276871084,4.8,1510.0,0.044,0.0003,0.0007,0.4092,0.1587,1.8770492,1022971.26781775,0.0,0.0,0.603696689569408,0.0,0.0,0.0,0.0360393357813145,0.0,460332892.536536,0.0360393357813145,24.5603070208333,0
1991,59.2375366568915,17.6930596285435,661.0,10230.0,10450.0,1.5137,0.0014,7.4107,2.01986310928144,3.1115,2.3285,0.8866,0.0622,0.5601,0.453,0.0002,0.0086,1.1718,0.0287,0.0289,0.0006,0.2489,0.0334,9.3703,2.553972403808,0.1953,0.0056,0.0039,0.0191,80.0,1732.0,1308.28976001605,4.8,1812.0,0.0458,0.0004,0.0012,0.4425,0.1714,1.8770492,972036.429547578,0.0,0.0,0.501058181713163,0.0,0.0,0.0,0.0207238892586347,0.0,520965718.877935,0.0207238892586347,25.1129386041667,0
1992,59.2375366568915,17.5953079178886,661.0,10230.0,10450.0,1.6068,0.0012,7.9604,2.12426258302154,2.5562,3.2319,0.7052,0.0622,0.3423,1.0521,0.0002,0.0103,1.2478,0.0399,0.031,0.0004,0.2534,0.0331,10.0482,2.68139984004786,0.2079,0.005,0.0032,0.0265,130.0,1731.0,1280.89799488762,4.8,1861.0,0.0475,0.0004,0.0007,0.4755,0.1842,1.8770492,915855.506440614,0.0,0.0,0.462240282588109,0.0,0.0,0.0,0.0156728518810613,0.0,872821123.285235,0.0156728518810613,25.7116228125,0
1993,59.2375366568915,17.5953079178886,661.0,10230.0,10450.0,1.6759,0.0015,11.4037,2.98475624678229,3.1893,3.7691,2.5751,0.0,0.6018,1.2372,0.0002,0.031,1.3073,0.0462,0.0304,0.0012,0.2548,0.0345,13.6155,3.56366343187424,0.2287,0.0091,0.004,0.031,180.0,2032.0,1256.33171554451,4.8,2212.0,0.0488,0.0003,0.0019,0.5272,0.2034,1.8770492,640992.663452035,0.0,0.0,0.597824218306367,0.0,0.0,0.0,0.0080711821450306,0.0,1223783032.67255,0.0080711821450306,26.3015350833333,1
1994,59.3352883675464,17.5953079178886,661.0,10230.0,10450.0,1.7303,0.0016,12.5275,3.22060342963737,3.5308,3.5401,3.0458,0.0,1.0026,1.3859,0.0002,0.022,1.3594,0.0413,0.0333,0.0016,0.2573,0.0358,14.7824,3.80029919283747,0.192,0.0102,0.0044,0.0391,200.0,2237.0,1233.9969237485,4.8,2437.0,0.0506,0.0004,0.0027,0.5038,0.2044,1.9981072,771134.061600956,0.0,0.0,0.607498736706055,0.0,0.0,0.0,0.0080333769684398,0.0,1407665885.37742,0.0080333769684398,26.8958333333333,1
1995,59.5307917888563,17.5953079178886,661.0,10230.0,10450.0,1.7672,0.0017,14.5233,3.66681941609323,3.6182,4.1802,3.6424,0.0,1.3891,1.599,0.0002,0.0943,1.4022,0.0468,0.0333,0.0024,0.2436,0.0371,16.9408,4.27718592634953,0.262,0.0118,0.0046,0.0613,300.0,4085.0,1211.89627682741,4.8,4385.0,0.0531,0.0004,0.0039,0.6146,0.2175,2.1,1159985.02968222,0.0,0.0,0.661614859884127,0.0,0.0,0.0,0.0098985004633091,0.0,1680844581.62143,0.0098985004633091,27.3819444375,1
1996,60.4105571847507,17.8885630498534,661.0,10230.0,10450.0,1.8422,0.0026,15.0813,3.73782368857194,4.9723,4.3316,2.966,0.0,1.0712,1.674,0.0003,0.066,1.4485,0.0467,0.0333,0.0021,0.2709,0.038,17.6181,4.36655669787282,0.2552,0.0105,0.0066,0.0827,350.0,4135.0,1189.6556467377,4.8,4485.0,0.0549,0.0004,0.0033,0.6386,0.225,2.0,1215168.88735632,0.0,0.0,0.617359932535378,0.0,0.0,0.0,0.0088761840500752,0.0,2000809209.21726,0.0088761840500752,27.8680555625,1
1997,60.8015640273705,18.0840664711632,661.0,10230.0,10450.0,1.8616,0.0035,16.5618,4.03119945574986,5.9361,4.1685,3.8041,0.0,1.373,1.2092,0.0003,0.0705,1.4693,0.0427,0.0333,0.0025,0.2713,0.0389,19.1761,4.66752912626676,0.2588,0.0122,0.0084,0.1058,300.0,3655.0,1168.33661725171,4.8,3955.0,0.0563,0.0004,0.0039,0.6754,0.2295,2.5237183,1188368.33068732,0.0,0.0,0.670887242284437,0.0,0.0,0.0,0.0075443012168788,0.0,2918978487.32199,0.0075443012168788,28.3541666666667,1
1998,61.1925708699902,18.2795698924731,661.0,10230.0,10450.0,1.9032,0.0061,16.4456,3.93314871686452,8.0288,4.4575,1.4511,0.0,0.9841,1.4555,0.0003,0.0684,1.4886,0.0451,0.0277,0.002,0.2933,0.0403,19.1618,4.58275825040221,0.2687,0.0077,0.0132,0.116,400.0,3520.0,1147.97355164601,4.8,3920.0,0.0561,0.0003,0.0031,0.7079,0.2427,2.1224065,1576231.2882091,0.0,0.0,0.642623400865542,0.0,0.0,0.0,0.0091390672509658,0.0,2689177524.70928,0.0091390672509658,28.8402777708333,1
1999,56.9403714565005,12.6099706744868,661.0,10230.0,10450.0,1.9102,0.0067,16.9466,3.98249044656787,8.1525,4.2463,1.8202,0.0,1.4819,1.1828,0.0003,0.0625,1.5074,0.0413,0.025,0.0026,0.2851,0.0421,19.7178,4.63372889708473,0.2652,0.0085,0.0141,0.1154,300.0,3560.0,1128.01117295067,4.8,3860.0,0.0564,0.0003,0.0042,0.7076,0.2435,1.91120324999998,255924.962603028,0.0,0.0,0.665699141065226,0.0,0.0,0.0,0.0014715895180231,0.0,2370234795.05546,0.0014715895180231,29.3263888958333,1
2000,58.1622678396872,12.6099706744868,661.0,10230.0,10450.0,1.9456,0.0056,15.3085,3.53598931938817,7.2395,4.0013,1.6116,0.0,1.1895,1.2002,0.0003,0.0662,1.5423,0.0362,0.0337,0.0023,0.2844,0.0411,18.1724,4.19749892593328,0.2747,0.0078,0.012,0.0523,400.0,3666.0,1108.71403031409,4.8,4066.0,0.0575,0.0004,0.0036,0.6397,0.2315,1.7,277395.461224704,0.0,0.0,0.593388514157312,0.0,0.0,0.0,0.0016071239730831,0.0,2320907240.04561,0.0016071239730831,26.375,1
2001,58.455522971652,11.7302052785924,661.0,10230.0,10450.0,2.0146,0.0059,16.5184,3.7525460492449,7.6672,3.7374,2.0798,0.0,1.7184,1.2467,0.0003,0.0686,1.6129,0.0324,0.0339,0.0028,0.283,0.0436,19.5937,4.45117332944412,0.3068,0.0092,0.0128,0.0488,300.0,3670.0,1090.43376091967,4.8,3970.0,0.0603,0.0004,0.0047,0.6792,0.2363,2.75,179394.268136776,0.0,0.0,0.616610874211893,0.0,0.0,0.0,0.0015354262216763,0.0,2416244245.29208,0.0015354262216763,25.8625,1
2002,60.2150537634409,12.7077223851417,661.0,10230.0,10450.0,2.109,0.0069,16.4658,3.68898515605677,8.563,3.7502,1.7291,0.0,1.1179,1.2494,0.0003,0.056,1.6896,0.0308,0.0341,0.0022,0.3013,0.0441,19.7074,4.41523072456079,0.2698,0.0086,0.0146,0.0479,790.0,3970.0,1075.38830479372,4.8,4760.0,0.0638,0.0004,0.0034,0.6521,0.2436,2.58,95848.8528661383,0.0,0.0,0.594303484370118,0.0,0.0,0.0,0.0013729219593797,0.0,2389968734.68149,0.0013729219593797,25.35,0
2003,61.2903225806452,13.2942326490714,661.0,10230.0,10450.0,2.1947,0.0078,16.4707,3.63952510966725,8.5784,3.9954,1.0106,0.0,1.5255,1.3044,0.0002,0.0561,1.773,0.0302,0.0344,0.0026,0.3019,0.0448,19.9597,4.41048828109463,0.3045,0.0068,0.0158,0.0496,795.0,3898.0,1060.65440609098,4.8,4693.0,0.0673,0.0004,0.0043,0.7008,0.2522,2.595,34681.5907485112,0.0,0.0,0.575895623379372,0.0,0.0,0.0,0.0016030395819099,0.0,2624941565.17496,0.0016030395819099,24.8375,0
2004,62.3949169110459,13.3235581622678,661.0,10230.0,10450.0,2.2728,0.0065,16.6903,3.62889487678395,7.4931,4.0112,1.9265,0.0,1.8335,1.3679,0.0002,0.0579,1.8651,0.0278,0.0346,0.003,0.2906,0.0452,20.3716,4.42930294074354,0.3041,0.0087,0.0135,0.0487,795.0,3866.0,1043.64184038411,4.8,4661.0,0.0719,0.0004,0.0049,0.7008,0.2487,2.61,0.0,0.0,0.0,0.547035005151015,0.0,0.0,0.0,0.001457056258517,0.0,2882719825.90735,0.001457056258517,24.325,0
2005,63.8318670576735,13.8514173998045,661.0,10230.0,10450.0,2.3478,0.0064,16.5758,3.54858446679178,7.3595,4.0423,1.3163,0.0,1.8118,2.0208,0.0002,0.0249,1.9296,0.0269,0.0348,0.0029,0.3017,0.0454,20.3809,4.36318881497343,0.2196,0.0077,0.0132,0.0432,813.0,3798.0,1027.59477313919,4.8,4611.0,0.0735,0.0004,0.0048,0.6119,0.2494,2.5,0.0,0.0,0.0,0.529072477025084,0.0,0.0,0.0,0.0013762335145434,0.0,3048242359.49968,0.0013762335145434,22.8333333333333,0
2006,66.3734115347019,13.2942326490714,661.0,10230.0,10450.0,2.3898,0.0074,16.1341,3.39584048951661,8.2381,3.8903,1.3148,0.0,0.7819,1.8835,0.0002,0.0254,1.9703,0.0226,0.035,0.0018,0.3064,0.0462,20.0335,4.21657052123955,0.231,0.0079,0.0151,0.0376,813.0,3811.0,1010.28469822796,4.8,4624.0,0.0743,0.0004,0.0027,0.6177,0.2488,2.58,0.0,0.0,0.0,0.507116291071377,0.0,0.0,0.0,0.0016240034908894,0.0,3663627050.63016,0.0016240034908894,24.325,0
2007,66.1876832844575,13.1182795698925,661.0,10230.0,10450.0,2.4224,0.007,14.9481,3.08582491177961,8.0534,3.0583,1.1614,0.0,0.5236,2.1104,0.0002,0.0409,2.0187,0.0163,0.0352,0.0015,0.2973,0.0464,18.8883,3.8992237596194,0.2387,0.0079,0.0144,0.0287,818.0,3700.0,990.892459679966,4.8,4518.0,0.075,0.0004,0.0022,0.6067,0.2395,2.33,0.0,0.0,0.0,0.429819826936704,0.0,0.0,0.0,0.0013781397853223,0.0,3938985247.3476,0.0013781397853223,25.8166666666667,0
2008,64.8093841642229,12.0234604105572,661.0,10230.0,10450.0,2.4681,0.0087,18.3122,3.71794595880824,9.62,4.4401,1.3509,0.0,0.9499,1.9336,0.0002,0.0176,2.0679,0.0218,0.0124,0.002,0.3076,0.0476,22.3503,4.53780581050621,0.2229,0.008,0.0178,0.0374,975.0,3600.0,974.549240521595,4.8,4575.0,0.0758,0.0001,0.0031,0.6227,0.2577,1.68,0.0,0.0,0.0,0.482768729068315,0.0,0.0,0.0,0.001896635571091,0.0,4451156827.62074,0.001896635571091,27.3083333333333,1
2009,64.8093841642229,12.0234604105572,661.0,10230.0,10450.0,2.5227,0.0088,21.5597,4.31860187525276,9.9729,5.1138,3.1437,0.0,1.1303,2.1817,0.0001,0.0171,2.1375,0.0249,0.013,0.0022,0.2923,0.044,25.7785,5.16366547035457,0.311,0.0112,0.0179,0.0267,1080.0,3500.0,961.483183959576,4.8,4580.0,0.0775,0.0001,0.0034,0.7168,0.269,1.58,0.0,0.0,0.0,0.515623878988422,0.0,0.0,0.0,0.00190954318912,0.0,5217677965.45515,0.00190954318912,28.8,1
2010,62.5610948191593,11.1436950146628,661.0,10230.0,10450.0,2.5866,0.0099,20.6592,4.09800035229092,11.2517,5.0457,1.1797,0.0,0.8162,2.3276,0.0001,0.0382,2.2249,0.0241,0.0136,0.002,0.2665,0.0457,24.899,4.93901558490608,0.2662,0.0076,0.0199,0.0243,1180.0,3400.0,952.137628320382,4.8,4580.0,0.0791,0.0001,0.0029,0.6796,0.2796,1.46,0.0,0.0,0.0,0.457593714497488,0.0,0.0,0.0,0.0018807991655535,0.0,6130568435.72686,0.0018807991655535,30.2916666666667,1
2011,63.6363636363636,12.2189638318671,661.0,10230.0,10450.0,2.7636,0.0109,20.9822,4.11737002602031,11.6912,5.0584,0.6952,0.0,1.1524,2.3525,0.0001,0.0325,2.3301,0.024,0.0142,0.0025,0.3357,0.0462,25.466,4.99723313487781,0.3047,0.0065,0.0219,0.025,1280.0,3300.0,941.911530959455,4.8,4580.0,0.0821,0.0001,0.0038,0.7399,0.2958,1.43,0.0,0.0,0.0,0.460751762436523,0.0,0.0,0.0,0.0019349819850085,0.0,7241241602.78403,0.0019349819850085,31.7833333333333,1
2012,64.3206256109482,12.9032258064516,661.0,10230.0,10450.0,2.927,0.0107,23.4369,4.47632828355561,11.139,8.1195,0.7014,0.0,1.1212,2.3042,0.0001,0.0514,2.4693,0.0283,0.0147,0.0024,0.3546,0.047,28.2302,5.39182411967587,0.3467,0.0064,0.0213,0.0718,1280.0,3200.0,916.775501925037,4.8,4480.0,0.0856,0.0001,0.0037,0.8668,0.3312,1.79,0.0,0.0,0.0,0.501785201343943,0.0,0.0,0.0,0.001904777259377,0.0,8155395835.23491,0.001904777259377,33.275,1
2013,64.5161290322581,12.9032258064516,661.0,10230.0,10450.0,3.0989,0.0115,23.1046,4.02278357415317,12.2249,6.7174,0.776,0.0,0.9872,2.3464,0.0,0.0526,2.6238,0.0253,0.0147,0.0021,0.3757,0.0457,28.0727,4.88778842490802,0.3232,0.0061,0.0231,0.0556,1180.0,3100.0,835.736656593718,4.8,4280.0,0.0894,0.0001,0.0032,0.8419,0.3411,2.1,0.0,0.0,0.0,0.476433374828322,0.0,0.0,0.0,0.0015553293883068,0.0,8600650416.5113,0.0015553293883068,34.7666666666667,1
2014,64.7116324535679,12.9032258064516,661.0,10230.0,10450.0,3.2458,0.0128,24.9694,3.93405377982319,13.5101,7.1225,0.7188,0.0,1.1866,2.4039,0.0,0.0275,2.7687,0.0268,0.0147,0.0025,0.3736,0.0466,30.182,4.75532496506218,0.2855,0.0064,0.0256,0.0549,1135.0,2998.0,756.263992853305,4.8,4133.0,0.0936,0.0001,0.0038,0.8469,0.3769,2.1,0.0,0.0,0.0,0.502406797582048,0.0,0.0,0.0,0.0022937612324339,0.0,8712411439.06348,0.0022937612324339,36.2583333333333,1
2015,65.0048875855327,13.0009775171065,661.0,10230.0,10450.0,3.3647,0.0136,26.9054,4.15689901334406,14.2702,8.3469,0.8129,0.0,1.1892,2.2398,0.0,0.0464,2.8797,0.0284,0.0147,0.0025,0.3814,0.0442,32.4173,5.0084905775524,0.3142,0.006,0.0272,0.0653,1035.0,3638.0,741.602624902491,4.8,4673.0,0.097,0.0001,0.0039,0.9097,0.3961,2.1,0.0,0.0,0.0,0.538869553766864,0.0,0.0,0.0,0.0022882837514628,0.0,8902759802.42538,0.0022882837514628,37.75,1
2016,65.5913978494624,13.3919843597263,661.0,10230.0,10450.0,3.4466,0.0138,27.8657,4.40699597979459,14.6687,8.8632,0.8471,0.0,1.0814,2.3537,0.0,0.0515,2.9588,0.0302,0.0147,0.0024,0.3815,0.0452,33.6545,5.32250207968926,0.3144,0.0062,0.0277,0.0703,1035.0,4291.0,759.126119315648,4.8,5326.0,0.0998,0.0001,0.0037,0.9303,0.4082,2.1,0.0,0.0,0.0,0.549559560040241,0.0,0.0,0.0,0.0013728364357897,0.0,8665683765.08663,0.0013728364357897,37.75,1
2017,65.8181818181818,13.4086021505376,661.0,10230.0,10450.0,3.4982,0.0148,29.2967,4.75585896916428,15.6705,9.3247,0.7818,0.0,1.1498,2.3159,0.0,0.054,3.0016,0.0315,0.0147,0.0025,0.3878,0.0453,35.3527,5.73895542430287,0.3259,0.0062,0.0296,0.0767,1035.0,3617.0,779.204587956614,4.8,4652.0,0.1024,0.0001,0.0038,0.974,0.4293,2.1,0.0,0.0,0.0,0.572610506883212,0.0,0.0,0.0,0.0019955562575097,0.0,9062258180.62513,0.0019955562575097,37.75,1
